Timestamp;Entity Name;humidity;k;n;p;ph;rainfall;temperature
2023-04-18 19:35:15;K1;;16;;;;;
2023-04-18 19:35:15;N1;;;3;;;;
2023-04-18 19:35:15;P1;;;;11;;;
2023-04-18 19:35:15;humidity1;16;;;;;;
2023-04-18 19:35:15;ph1;;;;;2;;
2023-04-18 19:35:15;rainfall1;;;;;;130;
2023-04-18 19:35:15;temperature1;;;;;;;4
2023-04-18 19:35:25;K1;;19;;;;;
2023-04-18 19:35:25;N1;;;18;;;;
2023-04-18 19:35:25;P1;;;;27;;;
2023-04-18 19:35:25;humidity1;8;;;;;;
2023-04-18 19:35:25;ph1;;;;;2;;
2023-04-18 19:35:25;rainfall1;;;;;;2;
2023-04-18 19:35:25;temperature1;;;;;;;11
2023-04-18 19:35:45;K1;;16;;;;;
2023-04-18 19:35:45;N1;;;4;;;;
2023-04-18 19:35:45;P1;;;;4;;;
2023-04-18 19:35:45;humidity1;21;;;;;;
2023-04-18 19:35:45;ph1;;;;;3;;
2023-04-18 19:35:45;rainfall1;;;;;;173;
2023-04-18 19:35:45;temperature1;;;;;;;5
2023-04-18 19:35:55;K1;;26;;;;;
2023-04-18 19:35:55;N1;;;30;;;;
2023-04-18 19:35:55;P1;;;;15;;;
2023-04-18 19:35:55;humidity1;21;;;;;;
2023-04-18 19:35:55;ph1;;;;;3;;
2023-04-18 19:35:55;rainfall1;;;;;;121;
2023-04-18 19:35:55;temperature1;;;;;;;3
2023-04-18 19:36:05;K1;;17;;;;;
2023-04-18 19:36:05;N1;;;22;;;;
2023-04-18 19:36:05;P1;;;;5;;;
2023-04-18 19:36:05;humidity1;17;;;;;;
2023-04-18 19:36:05;ph1;;;;;3;;
2023-04-18 19:36:05;rainfall1;;;;;;192;
2023-04-18 19:36:05;temperature1;;;;;;;3
2023-04-18 19:36:15;K1;;7;;;;;
2023-04-18 19:36:15;N1;;;3;;;;
2023-04-18 19:36:15;P1;;;;6;;;
2023-04-18 19:36:15;humidity1;26;;;;;;
2023-04-18 19:36:15;ph1;;;;;3;;
2023-04-18 19:36:15;rainfall1;;;;;;188;
2023-04-18 19:36:15;temperature1;;;;;;;9
2023-04-18 19:36:35;K1;;19;;;;;
2023-04-18 19:36:35;N1;;;19;;;;
2023-04-18 19:36:35;P1;;;;26;;;
2023-04-18 19:36:35;humidity1;5;;;;;;
2023-04-18 19:36:35;ph1;;;;;4;;
2023-04-18 19:36:35;rainfall1;;;;;;123;
2023-04-18 19:36:35;temperature1;;;;;;;7
2023-04-18 19:36:45;K1;;20;;;;;
2023-04-18 19:36:45;N1;;;9;;;;
2023-04-18 19:36:45;P1;;;;1;;;
2023-04-18 19:36:45;humidity1;4;;;;;;
2023-04-18 19:36:45;ph1;;;;;4;;
2023-04-18 19:36:45;rainfall1;;;;;;167;
2023-04-18 19:36:45;temperature1;;;;;;;5
2023-04-18 19:36:55;K1;;12;;;;;
2023-04-18 19:36:55;N1;;;12;;;;
2023-04-18 19:36:55;P1;;;;4;;;
2023-04-18 19:36:55;humidity1;13;;;;;;
2023-04-18 19:36:55;ph1;;;;;4;;
2023-04-18 19:36:55;rainfall1;;;;;;68;
2023-04-18 19:36:55;temperature1;;;;;;;8
2023-04-18 19:37:05;K1;;18;;;;;
2023-04-18 19:37:05;N1;;;12;;;;
2023-04-18 19:37:05;P1;;;;15;;;
2023-04-18 19:37:05;humidity1;15;;;;;;
2023-04-18 19:37:05;ph1;;;;;3;;
2023-04-18 19:37:05;rainfall1;;;;;;21;
2023-04-18 19:37:05;temperature1;;;;;;;4
2023-04-18 19:37:15;temperature1;;;;;;;2
2023-04-18 19:37:25;K1;;24;;;;;
2023-04-18 19:37:25;N1;;;30;;;;
2023-04-18 19:37:25;P1;;;;30;;;
2023-04-18 19:37:25;humidity1;12;;;;;;
2023-04-18 19:37:25;ph1;;;;;3;;
2023-04-18 19:37:25;rainfall1;;;;;;139;
2023-04-18 19:37:35;K1;;9;;;;;
2023-04-18 19:37:35;N1;;;20;;;;
2023-04-18 19:37:35;P1;;;;16;;;
2023-04-18 19:37:35;humidity1;30;;;;;;
2023-04-18 19:37:35;ph1;;;;;3;;
2023-04-18 19:37:35;rainfall1;;;;;;186;
2023-04-18 19:37:35;temperature1;;;;;;;2
2023-04-18 19:37:45;K1;;15;;;;;
2023-04-18 19:37:45;N1;;;1;;;;
2023-04-18 19:37:45;P1;;;;19;;;
2023-04-18 19:37:45;humidity1;27;;;;;;
2023-04-18 19:37:45;ph1;;;;;2;;
2023-04-18 19:37:45;rainfall1;;;;;;108;
2023-04-18 19:37:45;temperature1;;;;;;;5
2023-04-18 19:37:55;K1;;15;;;;;
2023-04-18 19:37:55;N1;;;12;;;;
2023-04-18 19:37:55;P1;;;;12;;;
2023-04-18 19:37:55;humidity1;13;;;;;;
2023-04-18 19:37:55;ph1;;;;;3;;
2023-04-18 19:37:55;rainfall1;;;;;;169;
2023-04-18 19:37:55;temperature1;;;;;;;7
2023-04-18 19:38:05;K1;;11;;;;;
2023-04-18 19:38:05;N1;;;10;;;;
2023-04-18 19:38:05;P1;;;;19;;;
2023-04-18 19:38:05;humidity1;16;;;;;;
2023-04-18 19:38:05;ph1;;;;;4;;
2023-04-18 19:38:05;rainfall1;;;;;;52;
2023-04-18 19:38:05;temperature1;;;;;;;9
2023-04-18 19:38:25;K1;;9;;;;;
2023-04-18 19:38:25;N1;;;3;;;;
2023-04-18 19:38:25;P1;;;;14;;;
2023-04-18 19:38:25;humidity1;5;;;;;;
2023-04-18 19:38:25;ph1;;;;;2;;
2023-04-18 19:38:25;rainfall1;;;;;;123;
2023-04-18 19:38:25;temperature1;;;;;;;9
2023-04-18 19:38:35;K1;;23;;;;;
2023-04-18 19:38:35;N1;;;1;;;;
2023-04-18 19:38:35;P1;;;;17;;;
2023-04-18 19:38:35;humidity1;23;;;;;;
2023-04-18 19:38:35;ph1;;;;;2;;
2023-04-18 19:38:35;rainfall1;;;;;;28;
